model,auto_jit,manual_jit,without_jit,auto_vs_wo_speedup,auto_vs_manual_%diff
alexnet,647.387,630.165,628.524,1.030012,0.002611
densenet121,409.653,424.690,309.479,1.323686,0.372274
densenet161,176.592,176.348,133.211,1.325656,0.323825
densenet169,351.913,346.305,245.495,1.433483,0.410640
densenet201,266.348,265.590,186.958,1.424641,0.420586
efficientnet_b0,1594.656,1560.451,810.880,1.966575,0.924392
efficientnet_b1,997.488,976.431,488.984,2.039920,0.996857
efficientnet_b2,744.955,739.314,302.381,2.463630,1.444975
efficientnet_b3,406.045,404.099,160.491,2.530017,1.517892
efficientnet_b4,176.956,177.468,70.294,2.517370,1.524654
efficientnet_b5,76.833,77.726,34.417,2.232414,1.258361
efficientnet_b6,43.457,43.790,20.313,2.139369,1.155762
efficientnet_b7,22.513,22.085,9.611,2.342420,1.297888
fbnetc_100,2064.096,2295.445,1127.662,1.830421,1.035579
googlenet,986.447,913.048,465.457,2.119309,0.961616
inception_v3,593.136,607.765,349.665,1.696298,0.738135
mnasnet0_5,6502.078,6337.486,3610.453,1.800904,0.755316
mnasnet0_75,3854.113,3963.025,1567.495,2.458772,1.528254
mnasnet1_0,3182.552,3159.826,1297.915,2.452050,1.434540
mnasnet1_3,1948.778,1927.868,819.012,2.379425,1.353895
mobilenet_v2,2384.303,2455.049,926.821,2.572560,1.648892
mobilenet_v3_small,7608.857,7193.546,4695.924,1.620311,0.531870
mobilenet_v3_large,2826.488,2831.143,1479.193,1.910831,0.913978
resnet18,1084.850,1087.085,861.185,1.259718,0.262313
resnet34,544.527,573.507,477.871,1.139485,0.200129
resnet50,468.818,469.576,269.776,1.737805,0.740614
resnet101,246.667,247.717,158.552,1.555748,0.562371
resnet152,135.611,141.209,96.195,1.409751,0.467945
resnext50_32x4d,393.338,413.177,232.733,1.690083,0.775326
resnext101_32x8d,82.381,82.246,57.437,1.434285,0.431934
shufflenet_v2_x0_5,8845.876,8739.138,5460.282,1.620040,0.600492
shufflenet_v2_x1_0,5256.745,5252.892,3367.365,1.561086,0.559941
shufflenet_v2_x1_5,3511.844,3408.126,2315.754,1.516501,0.471713
shufflenet_v2_x2_0,1915.022,1954.067,1400.515,1.367370,0.395249
spnasnet_100,2840.565,2806.431,1148.197,2.473935,1.444207
squeezenet1_0,1598.832,1516.889,782.261,2.043860,0.939109
squeezenet1_1,3326.117,3327.446,1459.868,2.278368,1.279279
vgg11,165.067,165.078,132.301,1.247663,0.247746
vgg11_bn,164.797,162.647,133.670,1.232865,0.216780
vgg13,129.298,128.861,105.681,1.223474,0.219339
vgg13_bn,129.110,129.184,103.361,1.249117,0.249833
vgg16,101.480,101.247,82.120,1.235753,0.232915
vgg16_bn,101.822,94.804,82.341,1.236589,0.151358
vgg19,80.844,80.933,69.024,1.171245,0.172534
vgg19_bn,80.866,80.919,69.204,1.168516,0.169282
wide_resnet50_2,137.344,137.496,105.372,1.303420,0.304863
wide_resnet101_2,48.475,48.526,40.813,1.187734,0.188984
vit_b_16,86.605,86.553,85.438,1.013659,0.013050
vit_b_32,223.263,223.486,223.488,0.998993,0.000009
vit_l_16,13.450,13.543,13.463,0.999034,0.005942
vit_l_32,32.699,27.670,30.220,1.082032,0.084381
convnext_tiny,273.052,272.389,271.762,1.004747,0.002307
convnext_small,160.499,160.266,160.204,1.001841,0.000387
convnext_base,87.612,87.371,87.495,1.001337,0.001417
convnext_large,32.271,32.244,32.087,1.005734,0.004893
regnet_y_400mf,2533.418,2600.536,1472.099,1.720956,0.766550
regnet_y_800mf,1704.875,1706.395,980.412,1.738937,0.740488
regnet_y_1_6gf,907.688,906.494,652.090,1.391967,0.390136
regnet_y_3_2gf,499.891,499.404,339.704,1.471549,0.470115
regnet_y_8gf,190.480,189.472,125.397,1.519016,0.510977
regnet_y_16gf,85.617,85.675,67.622,1.266112,0.266969
regnet_y_32gf,29.221,29.238,25.338,1.153248,0.153919
regnet_x_400mf,3106.784,3263.730,1824.857,1.702481,0.788485
regnet_x_800mf,1893.188,1933.929,1078.499,1.755392,0.793167
regnet_x_1_6gf,898.239,898.397,569.044,1.578505,0.578783
regnet_x_3_2gf,639.045,622.362,396.386,1.612179,0.570091
regnet_x_8gf,210.707,224.905,179.198,1.175833,0.255064
regnet_x_16gf,108.654,108.576,80.231,1.354265,0.353292
regnet_x_32gf,31.932,31.920,24.930,1.280866,0.280385
5
